permit_id,city,permit_date,units,permit_type,work_kind,is_residential,status,lng,lat,address,source_url
RP-2020-003855,philadelphia,2021-10-01,1,Residential Building,New Construction,true,Completed,-75.10238727978673,39.98548175061976,3229 MERCER ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2024-003922,philadelphia,2024-06-12,1,Residential Building,New Construction,true,Issued,-75.18090587056028,40.05492159118262,265 E HORTTER ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2022-010472,philadelphia,2023-04-13,2,Residential Building,New Construction,true,Expired,-75.18639149976428,40.004521430883834,3422 W CLEARFIELD ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2021-001124,philadelphia,2021-06-24,6,Building,New Construction,true,Completed,-75.14488915952344,39.9849993011045,2202 N MARSHALL ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2020-005593,philadelphia,2021-01-11,4,Building,New Construction,true,Completed,-75.08373854021784,40.016136850733545,4665 PAUL ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2022-009613,philadelphia,2022-11-15,1,Residential Building,New Construction,true,Completed,-75.11409366956217,39.9886328707153,2156 E STELLA ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-001936,philadelphia,2021-04-07,1,Residential Building,New Construction,true,Completed,-75.17575021956732,39.938317331093145,1920 ALTER ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2021-005547,philadelphia,2021-12-22,63,Building,New Construction,true,Issued,-75.20654118996896,39.95642205097638,4201 CHESTNUT ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2023-010426,philadelphia,2024-01-15,1,Residential Building,New Construction,true,Completed,-75.13021299946931,39.96903336059381,329 E WILDEY ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2024-002787,philadelphia,2024-03-28,2,Residential Building,New Construction,true,Issued,-75.21412059996116,40.001323550817666,4096 CONSHOHOCKEN AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-014810,philadelphia,2021-12-30,1,Residential Building,New Construction,true,Completed,-75.07166433032681,39.99979437052723,2709 LEFEVRE ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2024-002840,philadelphia,2024-08-12,1,Building,New Construction (Shell Only),true,Completed,-75.0130777800897,40.0948000712085,11301 E ROOSEVELT BLVD,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-015462,philadelphia,2021-02-13,1,Residential Building,New Construction,true,Completed,-75.1788219203933,39.978982131203345,1510 N BAILEY ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2023-013259,philadelphia,2024-11-20,1,Residential Building,New Construction,true,Completed,-75.11387372975516,39.98223684129043,2813 GAUL ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
1033144,philadelphia,2020-03-10,2,Residential Building,New Construction,true,Completed,-75.14106622967908,39.975409220517136,1606 N 3RD ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
1045932,philadelphia,2020-05-12,14,Building,New Construction,true,Completed,-75.17006470054638,39.971932261243644,2016 CAMBRIDGE ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2021-006178,philadelphia,2021-12-16,3,Building,New Construction,true,Completed,-75.11715339021974,39.985049770501966,2248 E SOMERSET ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2023-006990,philadelphia,2024-02-28,6,Building,New Construction,true,Completed,-75.16417157024921,39.97496398130491,1710 MASTER ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-003858,philadelphia,2023-02-16,1,Residential Building,New Construction,true,Completed,-75.15753764959734,39.93844853110051,907 S SCHELL ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2024-004137,philadelphia,2024-11-14,1,Residential Building,New Construction,true,Issued,-75.17899203948318,39.93852096054914,2107 ELLSWORTH ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-004698,philadelphia,2021-05-13,1,Residential Building,New Construction,true,Completed,-75.19045066017199,39.90951531088631,3409 MESSINA WAY,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-005847,philadelphia,2021-07-13,1,Residential Building,New Construction,true,Completed,-75.19009246032597,39.90959960071963,2304 SAN VINCENZO DR,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2022-007670,philadelphia,2022-09-14,1,Residential Building,New Construction,true,Completed,-75.17121707059748,40.022998020565005,5025 MCKEAN AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2022-006570,philadelphia,2022-11-29,2,Residential Building,New Construction,true,Completed,-75.13424335966938,39.98843217101928,2503 N HANCOCK ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
1037633,philadelphia,2020-01-28,2,Residential Building,New Construction,true,Completed,-75.18285351989462,40.05181157131047,91 MONTANA ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
