permit_id,city,permit_date,units,permit_type,work_kind,is_residential,status,lng,lat,address,source_url
EP-2021-17814,pittsburgh,2021-11-02,0,ELECTRICAL,NEW CONSTRUCTION,true,Completed,-80.0228369611,40.4342454815,"454 SWEETBRIAR ST, Pittsburgh, PA 15211-",https://data.wprdc.org/dataset/pli-permits
OLP-2023-14225,pittsburgh,2023-10-02,0,Occupant Load Placard Permit,NEW,false,Revoked,-79.9211879619,40.4377609366,"5846 FORBES AVE, Pittsburgh, 15217-",https://data.wprdc.org/dataset/pli-permits
MP-2022-13366,pittsburgh,2022-09-06,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-80.0178890319,40.436707179,"125 MERIDAN ST, Pittsburgh, PA 15211-",https://data.wprdc.org/dataset/pli-permits
MP-2022-00971,pittsburgh,2022-02-15,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-79.9884103929,40.4602226541,"1303 TELL ST, Pittsburgh, 15212-",https://data.wprdc.org/dataset/pli-permits
MP-2020-20636,pittsburgh,2021-01-19,0,MECHANICAL,NEW CONSTRUCTION,true,Expired,-80.0106146111,40.4833329838,"203 WATSON BLVD, Pittsburgh, 15214-",https://data.wprdc.org/dataset/pli-permits
MP-2020-14134,pittsburgh,2021-04-28,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-79.9493994797,40.4845179368,"5561 BERLIN Way, Pittsburgh, PA 15201-",https://data.wprdc.org/dataset/pli-permits
BP-2021-07921,pittsburgh,2021-07-09,0,BUILDING,NEW CONSTRUCTION,false,Completed,-79.9617216464,40.4310612357,"350 TECHNOLOGY DR #611, Pittsburgh, PA 15219-",https://data.wprdc.org/dataset/pli-permits
MP-2023-16379,pittsburgh,2023-10-03,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-79.9562087574,40.4712018933,"4602 DAVISON ST, Pittsburgh, PA 15201-",https://data.wprdc.org/dataset/pli-permits
OOP-2021-17165,pittsburgh,2022-05-27,0,Occupancy Only Permit,NEW USE,false,Completed,-80.0122168017,40.4348842594,"501 GRANDVIEW AVE #6001, Pittsburgh, PA 15211-",https://data.wprdc.org/dataset/pli-permits
MP-2021-09847,pittsburgh,2021-12-13,0,MECHANICAL,NEW CONSTRUCTION,false,Completed,-79.9764731199,40.4581127332,"115 28TH ST, Pittsburgh, PA 15222-",https://data.wprdc.org/dataset/pli-permits
EP-2024-06931,pittsburgh,2024-09-10,0,ELECTRICAL,NEW CONSTRUCTION,false,Completed,-79.9211060768,40.4587972853,"163 SHADY AVE #114, Pittsburgh, PA 15206-",https://data.wprdc.org/dataset/pli-permits
SP-2019-07827,pittsburgh,2020-02-11,0,Sign Permit,NEW,false,Expired,-79.9564686496,40.4579811379,"3700 BIGELOW BLVD, Pittsburgh, 15213-",https://data.wprdc.org/dataset/pli-permits
OOP-2019-08555,pittsburgh,2020-07-08,0,Occupancy Only Permit,NEW USE,true,Completed,-80.0559639926,40.4579460896,"3231 ASHLYN ST, Pittsburgh, 15204-",https://data.wprdc.org/dataset/pli-permits
MP-2022-03521,pittsburgh,2022-05-02,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-79.9283367649,40.4483281236,"5705 DUNMOYLE ST, Pittsburgh, PA 15217-",https://data.wprdc.org/dataset/pli-permits
BDA-2024-00718,pittsburgh,2024-09-05,0,Building & Development Application,New Construction,false,Issued,-79.9879197719,40.4410124668,"632 WASHINGTON PL, Pittsburgh, PA 15219",https://data.wprdc.org/dataset/pli-permits
FAS-2022-12856,pittsburgh,2023-04-18,0,Fire Alarm Permit,NEW SYSTEM,false,Completed,-79.9133217409,40.4652844329,"116 WINSLOW ST, Pittsburgh, PA 15206-",https://data.wprdc.org/dataset/pli-permits
OLP-2022-14544,pittsburgh,2022-09-13,0,Occupant Load Placard Permit,NEW,false,Completed,-80.0559454745,40.4558436825,"3048 ASHLYN ST, Pittsburgh, PA 15204-",https://data.wprdc.org/dataset/pli-permits
OLP-2023-12157,pittsburgh,2023-12-08,0,Occupant Load Placard Permit,NEW,false,Completed,-80.0043029326,40.4396167794,"111 BLVD OF THE ALLIES, Pittsburgh, PA 15222-",https://data.wprdc.org/dataset/pli-permits
EP-2021-14570,pittsburgh,2021-09-16,0,ELECTRICAL,NEW CONSTRUCTION,true,Completed,-80.0113452731,40.4592855101,"238 E JEFFERSON ST, Pittsburgh, PA 15212-",https://data.wprdc.org/dataset/pli-permits
MP-2023-15145,pittsburgh,2023-09-26,0,MECHANICAL,NEW CONSTRUCTION,false,Completed,-79.9892236629,40.436191678,"450 MAGEE ST, Pittsburgh, PA 15282-",https://data.wprdc.org/dataset/pli-permits
SSP-2020-00431,pittsburgh,2020-03-18,0,Suppression System Permit,NEW SYSTEM,false,Completed,-79.9731285128,40.462436536,"24 32ND ST, Pittsburgh, PA 15201-",https://data.wprdc.org/dataset/pli-permits
OOP-2022-08764,pittsburgh,2022-10-06,0,Occupancy Only Permit,NEW USE,true,Completed,-79.9005228569,40.4576268993,"7017 BENNETT ST, Pittsburgh, 15208-",https://data.wprdc.org/dataset/pli-permits
SSP-2019-08904,pittsburgh,2020-01-31,0,Suppression System Permit,NEW SYSTEM,false,Completed,-79.9468263282,40.4474656123,"4705 5TH AVE #6M, Pittsburgh, PA 15213-",https://data.wprdc.org/dataset/pli-permits
